"nr","name","vorname","fraktion","funktion","beschreibung","dauer"
"341","Wolfer","Simon","Die Mitte/EVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Technische Betriebe Weinfelden AG, Weinfelden: Verwaltungsrat, Mitglied; 

Pädagogische Hochschule Thurgau, Kreuzlingen: Hochschulrat, Mitglied; 

Stiftung Zentrum für Musik und Tanz, Weinfelden: Stiftungsrat, Mitglied;

Abwasserverband Mittelthurgau, Weinfelden: Verwaltungsrat, Präsident","01.01.2025 -"
"341","Wolfer","Simon","Die Mitte/EVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","PG Weinfelden: Stadtpräsident","01.01.2025 -"
"209","Zbinden","Ruedi","SVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Alterszentrum Bussnang: Stiftungsrat, Präsident.","01.01.2025 -"
"209","Zbinden","Ruedi","SVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","PG Bussnang: Gemeindepräsident","01.01.2025 -"
"408","Brüllmann","Markus","SP und Gew.","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Genossenschaft Alterszentrum Kreuzlingen, Vorstand; 

Mahlzeitendienst See, Delegierter; 

Spitex Region Kreuzlingen, Delegierter","01.01.2025 -"
"408","Brüllmann","Markus","SP und Gew.","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","PG Kreuzlingen: Stadtrat; 

SP Kreuzlingen: Vorstand","01.01.2025 -"
"340","Nafzger","Martin","SP und Gew.","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Nafzger Gartenbau AG, Romanshorn: Verwaltungsrat, Präsident.","01.01.2025 -"
"340","Nafzger","Martin","SP und Gew.","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","Stadt Romanshorn: Rechnungsprüfungskommission, Mitglied","01.01.2025 -"
"404","Schmidiger","Ciril","SVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Wasserversorgung Region Kreuzlingen: Vorstand, Vizepräsident. Abwasserzweckverband Münsterlingen: Vorstand, Vizepräsident. Verein Kombinierte Mobilität Regio Kreuzlingen: Vorstand, Mitglied. Regionalplanungsgruppe Kreuzlingen: Vorstand, Mitglied.","01.01.2025 -"
"404","Schmidiger","Ciril","SVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","Gemeindepräsident politische Gemeinde Lengwil","01.01.2025 -"
"375","Wattinger","Ralph","SVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","PG Roggwil: Geschäfts- und Rechnungsprüfungs-kommission, Mitglied; SVP Roggwil: Vorstand, Präsident","01.01.2025 -"
"255","Guhl","Andreas","Die Mitte/EVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Lignum Ost: Vorstandsmitglied;
Thurrat (Mitwirkung Thur3): Mitglied;
Gemeinde Bussnang: Vizepräsident Gemeinderat","01.01.2025 -"
"255","Guhl","Andreas","Die Mitte/EVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","Präsident, WaldThurgau (Verband Waldeigentümer)","01.01.2025 -"
"249","Dransfeld","Peter","GRÜNE","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","dransfeldarchitekten ag, Ermatingen: Verwaltungsrat, Präsident; 

Männerchor Ermatingen: Präsident;

Musikgesellschaft Ermatingen: Ehrenmitglied;

Schweizerischer Sonnenenergie-Verband SWISSOLAR: Ehrenmitglied;

Grüne Partei, Bezirk Kreuzlingen: Vorstand","01.01.2025 -"
"360","Keller","Heinz","SVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Überbauung Palme AG, Schönenberg: Verwaltungsrat, Mitglied; Denkmal Stiftung Thurgau, Schönenberg: Stiftungsrat, Vizepräsident.","01.01.2025 -"
"360","Keller","Heinz","SVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","PG Kradolf-Schönenberg: Gemeinderat, Präsident","01.01.2025 -"
"436","Wohlrab","Attila","FDP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Präsident, Verwaltungsrat: Immokanzlei AG, Kreuzlingen

Geschäftsführer, Gesellschafter: Euregio Inkasso Gmbh, Frauenfeld","01.01.2025 -"
"436","Wohlrab","Attila","FDP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","Präsident, AGV Kreuzlingen und Umgebung

Vorstand, IHK Thurgau","01.01.2025 -"
"393","Fäsi","Christina ","Die Mitte/EVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Alzheimer Thurgau, Weinfelden: Vorstand, Mitglied; 

Spitex Kreuzlingen: Pflegefachfrau","01.01.2025 -"
"309","Heeb","Hanspeter","GLP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","Primarschulbehörde Romanshorn: Präsidium; Evangelische Landeskirche Thurgau: Kirchenrat, Mitglied","01.01.2025 -"
"424","Martin","Roger","Die Mitte/EVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Mitglied, Verwaltungsrat: Regiotherm AG, Romanshorn

Präsident, Stiftungsrat: Stiftung historisches Bahn-Ensemble, Romanshorn

Mitglied, Vorstand: Verein internationales Bodensee Schifffahrtsmuseum Hohentwiel, Horn","01.01.2025 -"
"424","Martin","Roger","Die Mitte/EVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","Vorstandsmitglied, Regio Appenzell-St.Gallen-Bodensee

Präsident, Regionalplanungsgruppe Oberthurgau","01.01.2025 -"
"350","Häberli","Jürgen","SVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","PG Münsterlingen: Gemeinderat, Vizepräsident","01.01.2025 -"
"318","Schenk","Peter","EDU/Aufrecht","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Schenk AG, Heldswil: Verwaltungsrat, Präsident; HolzPower Wärmverbund GmbH: Gesellschafter; Riguzzi Grosszerspanung AG, Amriswil: Verwaltungsrat, Mitglied; Kreis Gewässerraumpflege GmbH, Weinfelden: Geschäftsführer; TPS Trenchless Piging Systems AG: Verwaltungsrat, Präsident.","01.01.2025 -"
"244","Koch","Paul","SVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Lignum Ost, Weinfelden: Geschäftsleitung, Präsident.","01.01.2025 -"
"354","Braun","Bernhard","GRÜNE","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Stiftung mech. Werkstätte Wiesental, Eschlikon: Stiftungsrat, Mitglied; 

Thurgie AG, Verwaltungsrat, Mitglied; 

ARA Lützelmurg, Aadorf: Betriebskommission, Mitglied; 

Regio Wil, Wil SG: Fachgruppe Mobilität, Präsident;

Regio Wil, Wil SG: Vorstand, Mitglied","01.01.2025 -"
"354","Braun","Bernhard","GRÜNE","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","PG Eschlikon: Gemeindepräsident","01.01.2025 -"
"251","Feuz","Hans","Die Mitte/EVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Feuzwohnwerk: Inhaber;","01.01.2025 -"
"251","Feuz","Hans","Die Mitte/EVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","PG Altnau: Gemeindepräsident","01.01.2025 -"
"333","Regli","Christoph","Die Mitte/EVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Credit Suisse, Frauenfeld: Direktion, Mitglied.","01.01.2025 -"
"333","Regli","Christoph","Die Mitte/EVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","PG Frauenfeld: Gemeinderat, Mitglied; CVP Frauenfeld: Vorstand, Mitglied","01.01.2025 -"
"386","Meier","Felix","SP und Gew.","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Regionales Pflegeheim, Romanshorn: Betriebskommission, Mitglied.","01.01.2025 -"
"386","Meier","Felix","SP und Gew.","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","PG Romanshorn: Einbürgerungskommission, Präsidium","01.01.2025 -"
"421","Kradolfer","Dean","FDP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Mitglied, Stiftungsrat: Elisabeth Ullmann Stiftung, Weinfelden

Mitglied, Vorstand: Hauseigentümerverband Region Amriswil, Amriswil

Mitglied, Verwaltungsrat: Hess Management AG, Amriswil

Mitglied, Stiftungsrat: Stiftung Kulturforum Amriswil, Amriswil

Mitglied, Stiftungsrat: Stiftung Schulmuseum Mühlebach in Amriswil, Amriswil","01.01.2025 -"
"397","Walzthöny","Gabriel","Die Mitte/EVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Büchler AG, Niederuzwil: Verwaltungsrates

VID AG, Niederuzwil: Verwaltungsrat

Walzthöny AG, Sirnach: Präsident Verwaltungsrat

GMW Projekt AG, Sirnach: Verwaltungsrat

SWB Projekt AG, Niederuzwil: Verwaltungsrat","01.01.2025 -"
"397","Walzthöny","Gabriel","Die Mitte/EVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","Schulkommission Sirnach, Viezpräsident","01.01.2025 -"
